SMILES,logP
O=c1[nH]c2cc(Cl)c[n+]([O-])c2[nH]c1=O,0.497
C/C(=C\Cc1c(C)c(C)c2c(c1O)C(=O)OC2)CCC(=O)O,3.033
COc1c(C)c2c(c(N)c1C/C=C(\C)C[C@H](C)C(=O)O)C(=O)OC2,2.856
CC1(C)CCC(=O)[C@@]23C(=O)O[C@H](O)[C@@H]2C(C=O)=CC[C@@H]13,0.999
CCSC(=O)c1ccc(C)c2oc(-c3nc(C)ncc3O)nc12,3.501
CC1=NC(C)=C([N+](=O)[O-])[C@@H](c2ccccn2)/C1=C(\O)OC(C)C,3.343
CNC(=S)n1nc(-c2ccc(Cl)cc2)nc1N,1.533
CN(Cc1c[nH]cn1)c1ccc2c(c1)C(C)(C)c1ccccc1-2,4.352
CCc1c(C)c2c(c(N)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,3.164
N#Cc1c(N)n(COCc2ccccc2)c2ncnc(N)c12,1.642
COCc1no[n+]([O-])c1C(=O)NCc1cccnc1,0.221
N#Cc1ccc2c(c1)ncn2-c1ccc2[nH]ccc2c1,3.378
Cc1cc(C)cc(S(=O)(=O)c2cccc(N)c2C#N)c1,2.59
Cc1cc(=O)[nH]c2c1C(=O)c1cc(F)cnc1C2=O,0.993
COc1ccc2sc3c(c2c1)SCCNC3=O,2.745
O=c1[nH]c2c(n3cnnc13)Cc1ccccc1-2,0.989
CCCC(CCC)C(=O)N1C[C@@H](c2ccccc2)CC1=O,3.746
O=C1SCC(O)=C1Cc1ccc2ccccc2c1,3.468
CC(=O)Nc1ccc(S(=O)(=O)N[C@@H]2COCOC[C@@H]2O)cc1,0.343
COc1cc(C(=O)O)c(C=O)c2c1CC1(CCCCC1)O2,2.844
Nc1nc2ccc(OC(F)(F)F)cc2s1,2.777
COc1c(C)c2c(c(O)c1C/C=C(\C)C[C@H](C)C(=O)O)C(=O)OC2,2.979
CC(=O)NC[C@@H]1CN(c2ccc(N3CCC(=O)CC3)c(F)c2)C(=O)O1,1.456
N#C/C(=C/c1ccc(O)c2ncccc12)C(=O)Nc1ccccc1,3.486
Cc1nc2c3c(ccn2c1CO)CC[C@H](c1ccccc1)O3,3.201
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1.219
O=C(c1ccc2nccnc2c1)N1CCCCC1,2.256
Nc1nc(N)c2ccn([C@H]3O[C@@H](CO)[C@H](O)[C@H]3F)c2n1,0.816
Cc1nc(SCc2ccccc2N(C)C)n(C)n1,2.482
Cc1[nH]cnc1N1Cc2cc3ccccc3n2C1=O,2.661
Cc1[nH]cnc1N1C[C@@H]2COc3ccc(Cl)cc3N2C1=O,2.579
CNC(=O)Cc1c(-c2ccc(F)cc2)nc2n3c4c(cccc4n12)CC3,2.94
COc1scc2c1CN(CC1=NCCN1)C2,1.074
CC(=O)NCCc1cccc2ccc3c(c12)CCO3,2.453
O=C(Nc1cccnc1)N1CCc2cc3ncccc3cc21,3.224
CCN(C)[C@H]1CN(C(=O)c2nn(C)c3ccccc23)C[C@H]1C,1.985
C[C@@H](O)c1cc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)no1,4.696
Cn1nnc2ccc(Oc3ccc(Cl)cc3Cn3cncn3)cc21,3.054
CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,0.649
COc1nc(N)nc2c1ncn2[C@H]1O[C@@H](CO)[C@H](O)[C@H]1O,1.971
CS(=O)(=O)c1ccc(C2=CC3(C=C2c2ccc(F)cc2)CC3)cc1,4.49
C[C@H](/C=C/c1ccc(Cc2ccc(F)cc2)s1)N(O)C(N)=O,3.65
Cc1ccc([C@]2(O)C(=O)O[C@@H]3[C@H](O)CO[C@@]32O)o1,1.219
CCCn1c(=O)c2nc(C3(N)CCCC3)[nH]c2n(CCC)c1=O,1.434
Oc1ccc(-c2cncc(-c3ccc(O)cc3)c2)cc1,3.827
Clc1cccc2c1CN(C1=NCCN1)C2,1.615
CN(C(=O)c1ccccc1)c1c(C(=O)O)[nH]c2cc(Cl)ccc12,3.796
Cc1cc(C)nc(NC(=O)Cc2cccs2)c1,2.941
C=CCN(Cc1ccc(Cl)cc1Cl)C(=O)CCl,3.747
N#Cc1cccc([C@H]2CC(C(F)(F)F)=NC3=C2C(=O)CCC3)c1,4.056
Nc1nccc(-c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)n1,3.718
O=C(c1ccc(F)cc1)c1ccc(OCC[C@@H]2CCCCN2)cc1,3.968
CC(C)(C)c1cc2sccc2c(C(C)(C)C)c1O,5.202
Nc1ccc2c(c1)/C(=C\c1c[nH]c3ncccc13)C(=O)N2,2.638
CC(C)Oc1c(C(=O)Nc2nnn[nH]2)sc2c1CCCC2,2.179
O=c1ccn(-c2cc3[nH]c(=O)c(=O)[nH]c3cc2[N+](=O)[O-])cc1,0.275
Nc1ccn([C@H]2O[C@@H](CO)[C@H](O)C2(F)F)c(=O)n1,1.289
CN[C@H](C(=O)OC)[C@H](O)c1ccc(O)c(O)c1,0.108
C[C@H]1CO[C@](O)(c2cc(F)cc(F)c2)[C@@H](C)N1,1.507
N#Cc1cc(-c2ccncc2)c(/C=N/N)nc1O,1.013
Oc1cc2c(cc1O)OC[C@H](c1cccc(F)c1)C2,2.956
Cn1c(=O)oc2cc(C(=O)c3ccccc3)cnc21,1.757
CC[C@](O)(c1cccc(O)c1)[C@H](C)CN(C)C,2.188
COc1ccc(CNc2n[nH]cc2CO)cc1OC1CCCC1,2.844
O=C(O)Cc1c(C(=O)O)nc2ccccn12,0.66
CC(=O)NC[C@@H]1CN(c2ccc(-c3ccc(C=O)cc3)s2)C(=O)O1,2.689
c1cc2c(cc1[C@@H]1[C@@H](NC3=NCCO3)[C@H]3CC[C@@H]1C3)OCO2,2.273
C[C@@H](CC(=O)/C=C/c1c(C2CC2)nn2ccccc12)C(=O)O,2.905
CN(O)C(=O)CCc1ccc2c(c1)Cc1ccccc1CO2,2.95
COc1cccc2oc(-c3ccc(F)cc3)cc(=O)c12,3.608
Cc1c(O)cc(C(C)C)cc1OCCN(C)C,2.764
O=[N+]([O-])c1cnc2ccc(Oc3ncc[nH]3)nn12,1.153
Cc1cccc2c(=O)n([C@H]3CN4CCC3CC4)ccc12,2.577
O=C1c2cccc3c2[C@@H](CC[C@@H]3O)CN1[C@H]1CN2CCC1CC2,2.147
COc1ccc2c(c1)-c1c(cnn1C[C@H](C)N)C2,1.81
c1cc2c3c(c1)nc(N1CCCCC1)n3CCC2,2.973
CC(=O)NC[C@@H]1CN(c2ccc(-c3cccc(C=O)c3)cn2)C(=O)O1,2.022
CC(=O)NC[C@@H]1CN(c2ccc3oc(C)cc3c2)C(=O)O1,2.203
N=C(O)OC[C@@H](CO)c1ccccc1,1.272
CC1(C)C=C(n2ccc(CO[N+](=O)[O-])cc2=O)c2cnccc2O1,2.012
COc1ccc(OC)c(-n2c(N)nc3cc(C(F)(F)F)ccc32)c1,3.644
Cc1nc2c(C(N)=O)cccc2[nH]1,0.97
COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,2.337
O=C(Cc1ccccc1F)NC1=C(Cl)C(=O)c2ccccc2C1=O,3.014
Cc1ncccc1OC[C@@H]1CCCN1,1.521
ONC1CCCCC1,1.298
CCc1noc(-c2[nH]c3cc4c([nH]c5ccccc54)c(C)c3c2C)n1,5.032
COc1cccc(NC(=O)c2cc([N+](=O)[O-])ccc2OC(C)C)c1,3.643
CC(=O)Nc1ccccc1-c1nc2ccccc2s1,3.922
O=C(Nc1ccc(C2CCNCC2)cc1)NC1CCC(C(=O)O)CC1,2.919
O=CNc1nc(Cl)c(NC=O)c(NC[C@@]2(CO)C[C@@H]2CO)n1,0.331
CC(C)Oc1ccc(OC(C)C)c(C(=O)Nc2ccccc2)c1,4.513
C[C@@H]1OC(c2ccccn2)=N[C@H]1C(=O)O,0.7
CC(C)N(C)c1nc2c(N[C@H]3C[C@H]4C[C@@H]3C[C@@H]4O)ncnc2n1C,1.779
Cc1cc(O)c2c(c1)Cc1cc(O)c(Cl)c(O)c1C2=O,2.9
Cc1ccc2c(c1)C[C@@]1(CC2)CNC=N1,1.854
CC(=O)SCCC(=O)N1[C@H](C)CCC[C@@H]1C(=O)O,1.51
Clc1ccccc1CNc1ccc(-n2ccnc2)nn1,2.928
CN(C)Cc1ccccc1Sc1ccc(Cl)cc1CO,4.045
COc1ccc(OC)c(CN(C)c2cnc3nc(N)nc(N)c3c2)c1,1.843
CCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,3.506
CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)oc3ccccc23)cc1,5.17
